date,temp_mean,temp_max,temp_min,precip,et0,humidity_mean,soil_moisture_0_7,soil_moisture_7_28,daylight_hours
2024-04-01,12.153417,19.968,5.9179997,0.0,3.7235844,77.931854,0.36204168,0.36975,12.632521
2024-04-02,13.393001,20.668001,8.118,0.0,3.9087393,71.7454,0.34395835,0.36099997,12.67055
2024-04-03,11.438832,14.418,8.768001,0.4,2.0732145,87.972786,0.33566666,0.35187495,12.708661
2024-04-04,8.757585,10.518001,5.718,16.699999,1.7952397,74.90531,0.37479165,0.35387504,12.746836
2024-04-05,7.9367504,12.318001,4.418,7.0,2.5228522,77.30346,0.40754166,0.3798333,12.785049
2024-04-06,8.715917,14.168,3.3179998,0.2,2.9490547,73.920746,0.37599993,0.37445834,12.82328
2024-04-07,9.551333,14.268001,3.518,0.70000005,2.916327,79.03841,0.35316667,0.36333337,12.861504
2024-04-08,10.995083,18.268,4.968,0.0,3.6989572,80.57453,0.3375417,0.35274997,12.899692
2024-04-09,13.351335,20.118,7.368,0.0,3.8289106,73.43809,0.31629163,0.3393334,12.93782
2024-04-10,16.603416,25.068,9.918,0.0,4.2826266,69.235954,0.29845837,0.3267917,12.975866
2024-04-11,17.782585,25.468,11.668,0.0,4.410348,68.894875,0.2867917,0.31700006,13.013798
2024-04-12,12.372167,16.518,9.168,0.0,3.1258075,80.740364,0.28287503,0.31212497,13.051595
2024-04-13,10.415917,13.118,7.968,12.099999,1.5096499,77.59906,0.358125,0.3235,13.089228
2024-04-14,11.02425,15.118,8.168,4.499999,2.8815691,80.10583,0.38633338,0.3512917,13.126669
2024-04-15,11.278417,16.618,7.518,0.0,2.9351504,84.42087,0.3563333,0.35233334,13.163889
2024-04-16,14.111749,23.418001,5.968,0.0,4.2029147,80.517136,0.3343334,0.3440417,13.200864
2024-04-17,16.918,24.518,10.468,0.0,4.305237,76.37641,0.3224584,0.33775,13.237561
2024-04-18,14.959666,21.918001,9.968,0.0,3.8867922,80.56709,0.31350002,0.33208337,13.2739525
2024-04-19,12.328418,17.518,9.168,0.0,3.350147,87.16703,0.3015416,0.323125,13.310009
2024-04-20,13.572166,20.118,7.818,0.0,4.0866284,81.42053,0.29575005,0.31850004,13.345698
2024-04-21,15.013833,22.968,9.918,0.0,4.35839,70.81042,0.2869584,0.31233332,13.380991
2024-04-22,13.770084,18.818,9.918,0.0,3.4360323,85.929695,0.27870837,0.30649996,13.415976
2024-04-23,13.653415,17.568,11.168,0.1,2.9043384,79.20525,0.27320835,0.30016664,13.450877
2024-04-24,13.390918,16.818,10.168,0.0,2.5038667,76.02097,0.27650002,0.30062503,13.485678
2024-04-25,12.790919,15.818001,9.668,1.4000001,2.4774883,85.204765,0.27966663,0.29604173,13.520353
2024-04-26,13.022167,16.018,10.468,3.0999997,2.7616765,86.8036,0.29783335,0.29149994,13.554875
2024-04-27,12.257584,16.568,8.768001,0.0,3.4780645,82.14042,0.28341672,0.28987503,13.589218
2024-04-28,13.163835,18.718,8.668,0.1,3.8100698,81.719,0.26966664,0.28641665,13.623352
2024-04-29,12.786752,19.518,7.768,0.0,4.1411133,78.426735,0.25745833,0.28012496,13.6572485
